userId,follow,total,choosen,userId,recommendation,last_recommendation,diversity,homogeneity,follower
514,28,397,"[np.float64(1704.0), np.float64(356.0), np.float64(4993.0), np.float64(7153.0), np.float64(5952.0), np.float64(58559.0), np.float64(79132.0), np.float64(4202.0), np.float64(1198.0), np.float64(260.0), np.float64(593.0), np.float64(1196.0), np.float64(2013.0), np.float64(80463.0), np.float64(3471.0), np.float64(1197.0), np.float64(1213.0), np.float64(1214.0), np.float64(1240.0), np.float64(1036.0), np.float64(589.0), np.float64(1270.0), np.float64(2716.0), np.float64(47.0), np.float64(1307.0), np.float64(1302.0), np.float64(1097.0), np.float64(1278.0), np.float64(104841.0), np.float64(1968.0), np.float64(1210.0), np.float64(2115.0), np.float64(1961.0), np.float64(1997.0), np.float64(1682.0), np.float64(1954.0), np.float64(1.0), np.float64(2081.0), np.float64(2959.0), np.float64(1610.0), np.float64(3499.0), np.float64(364.0), np.float64(1962.0), np.float64(2791.0), np.float64(2028.0), np.float64(2288.0), np.float64(1288.0), np.float64(4321.0), np.float64(2797.0), np.float64(2762.0), np.float64(588.0), np.float64(4855.0), np.float64(2078.0), np.float64(2355.0), np.float64(34.0), np.float64(3527.0), np.float64(16.0), np.float64(2174.0), np.float64(2406.0), np.float64(2011.0), np.float64(3421.0), np.float64(76093.0), np.float64(50872.0), np.float64(1625.0), np.float64(2420.0), np.float64(3552.0), np.float64(3897.0), np.float64(134130.0), np.float64(1994.0), np.float64(4246.0), np.float64(1022.0), np.float64(74458.0), np.float64(2096.0), np.float64(109487.0), np.float64(69122.0), np.float64(3703.0), np.float64(440.0), np.float64(73017.0), np.float64(1345.0), np.float64(1321.0), np.float64(122900.0), np.float64(2087.0), np.float64(112852.0), np.float64(59369.0), np.float64(87869.0), np.float64(2455.0), np.float64(592.0), np.float64(596.0), np.float64(3868.0), np.float64(1517.0), np.float64(89492.0), np.float64(6870.0), np.float64(2795.0), np.float64(2100.0), np.float64(3033.0), np.float64(586.0), np.float64(2746.0), np.float64(2458.0), np.float64(5337.0), np.float64(185029.0), np.float64(179819.0), np.float64(122926.0), np.float64(122906.0), np.float64(177763.0), np.float64(180985.0), np.float64(3016.0), np.float64(1407.0), np.float64(1130.0), np.float64(2003.0), np.float64(1327.0), np.float64(1974.0), np.float64(175303.0), np.float64(1128.0), np.float64(1983.0), np.float64(51077.0), np.float64(1975.0), np.float64(169984.0), np.float64(1717.0), np.float64(1644.0), np.float64(2148.0), np.float64(1388.0), np.float64(2121.0), np.float64(3708.0), np.float64(2787.0), np.float64(1969.0), np.float64(1976.0), np.float64(1991.0), np.float64(1259.0), np.float64(2903.0), np.float64(2902.0), np.float64(2454.0), np.float64(136958.0), np.float64(296.0), np.float64(184931.0), np.float64(6296.0), np.float64(1179.0), np.float64(38583.0), np.float64(2002.0), np.float64(160571.0), np.float64(7477.0), np.float64(2662.0), np.float64(3052.0), np.float64(44.0), np.float64(2289.0), np.float64(6639.0), np.float64(7891.0), np.float64(26198.0), np.float64(53123.0), np.float64(168358.0), np.float64(1301.0), np.float64(34162.0), np.float64(167538.0), np.float64(1449.0), np.float64(186587.0), np.float64(140956.0), np.float64(46970.0), np.float64(785.0), np.float64(40478.0), np.float64(185473.0), np.float64(6299.0), np.float64(72171.0), np.float64(159510.0), np.float64(3385.0), np.float64(3041.0), np.float64(62586.0), np.float64(5543.0), np.float64(31150.0), np.float64(185.0), np.float64(6780.0), np.float64(2297.0), np.float64(1998.0), np.float64(3244.0), np.float64(124484.0), np.float64(5103.0), np.float64(136864.0), np.float64(5755.0), np.float64(74754.0), np.float64(184471.0), np.float64(5041.0), np.float64(184987.0), np.float64(179401.0), np.float64(3294.0), np.float64(3478.0), np.float64(185033.0), np.float64(22.0), np.float64(2268.0), np.float64(112552.0), np.float64(1193.0), np.float64(82459.0), np.float64(148626.0), np.float64(69481.0), np.float64(1136.0), np.float64(1234.0), np.float64(81932.0), np.float64(81845.0), np.float64(2161.0), np.float64(3363.0), np.float64(1265.0), np.float64(1207.0), np.float64(1396.0), np.float64(150.0), np.float64(1090.0), np.float64(1291.0), np.float64(54997.0), np.float64(5060.0), np.float64(72641.0), np.float64(1784.0), np.float64(4007.0), np.float64(595.0), np.float64(84772.0), np.float64(54503.0), np.float64(1641.0), np.float64(112183.0), np.float64(128360.0), np.float64(161.0), np.float64(6942.0), np.float64(4002.0), np.float64(2571.0), np.float64(4128.0), np.float64(3911.0), np.float64(115713.0), np.float64(81562.0), np.float64(109374.0), np.float64(3671.0), np.float64(474.0), np.float64(3039.0), np.float64(1674.0), np.float64(6944.0), np.float64(2005.0), np.float64(4361.0), np.float64(4995.0), np.float64(62.0), np.float64(3210.0), np.float64(3704.0), np.float64(2144.0), np.float64(6377.0), np.float64(597.0), np.float64(11.0), np.float64(8961.0), np.float64(2987.0), np.float64(4306.0), np.float64(49272.0), np.float64(111759.0), np.float64(104211.0), np.float64(480.0), np.float64(2918.0), np.float64(1266.0), np.float64(3361.0), np.float64(96588.0), np.float64(6979.0), np.float64(1127.0), np.float64(2858.0), np.float64(46578.0), np.float64(2403.0), np.float64(1393.0), np.float64(2243.0), np.float64(117590.0), np.float64(778.0), np.float64(58998.0), np.float64(115617.0), np.float64(1101.0), np.float64(159093.0), np.float64(1721.0), np.float64(3253.0), np.float64(91529.0), np.float64(339.0), np.float64(2423.0), np.float64(2407.0), np.float64(2985.0), np.float64(6989.0), np.float64(8368.0), np.float64(6787.0), np.float64(261.0), np.float64(1617.0), np.float64(919.0), np.float64(457.0), np.float64(1947.0), np.float64(2804.0), np.float64(3098.0), np.float64(3360.0), np.float64(3740.0), np.float64(608.0), np.float64(102903.0), np.float64(1982.0), np.float64(106782.0), np.float64(2194.0), np.float64(2396.0), np.float64(1333.0), np.float64(1584.0), np.float64(1200.0), np.float64(1387.0), np.float64(1544.0), np.float64(4638.0), np.float64(2867.0), np.float64(2901.0), np.float64(4533.0), np.float64(2377.0), np.float64(5433.0), np.float64(1977.0), np.float64(4893.0), np.float64(1984.0), np.float64(1978.0), np.float64(1389.0), np.float64(5189.0), np.float64(8894.0), np.float64(3938.0), np.float64(6746.0), np.float64(1326.0), np.float64(2517.0), np.float64(3843.0), np.float64(1587.0), np.float64(59615.0), np.float64(158830.0), np.float64(2739.0), np.float64(26242.0), np.float64(26492.0), np.float64(4564.0), np.float64(3738.0), np.float64(2398.0), np.float64(5797.0), np.float64(5205.0), np.float64(2878.0), np.float64(5704.0), np.float64(54881.0), np.float64(1124.0), np.float64(2301.0), np.float64(2792.0), np.float64(1335.0), np.float64(5925.0), np.float64(4291.0), np.float64(3688.0), np.float64(8906.0), np.float64(1286.0), np.float64(2088.0), np.float64(1381.0), np.float64(4396.0), np.float64(4439.0), np.float64(5250.0), np.float64(5248.0), np.float64(4215.0), np.float64(4124.0), np.float64(53972.0), np.float64(88744.0), np.float64(3766.0), np.float64(3362.0), np.float64(7730.0), np.float64(69453.0), np.float64(165103.0), np.float64(1292.0), np.float64(648.0), np.float64(4086.0), np.float64(168250.0), np.float64(4397.0), np.float64(26729.0), np.float64(33085.0), np.float64(2375.0), np.float64(2794.0), np.float64(188797.0), np.float64(5377.0), np.float64(1320.0), np.float64(1258.0), np.float64(2915.0), np.float64(2114.0), np.float64(1673.0), np.float64(52435.0), np.float64(26133.0), np.float64(149330.0), np.float64(73854.0), np.float64(2118.0), np.float64(5502.0), np.float64(1330.0), np.float64(2786.0), np.float64(68358.0), np.float64(4833.0), np.float64(3196.0), np.float64(167018.0), np.float64(26375.0), np.float64(135216.0), np.float64(180263.0), np.float64(182727.0), np.float64(141994.0), np.float64(3877.0), np.float64(3160.0), np.float64(88810.0), np.float64(142488.0), np.float64(60487.0), np.float64(1079.0), np.float64(1089.0), np.float64(68157.0), np.float64(6821.0), np.float64(185585.0), np.float64(187593.0), np.float64(187031.0), np.float64(187595.0), np.float64(5247.0), np.float64(5246.0), np.float64(162.0)]",514,"Index([ 110,  318,  858, 1073,   50, 1206,  527, 1394, 2502, 1221, 1732, 1580,
       3578, 5989,  551],
      dtype='int64')","['Braveheart (1995)' 'Shawshank Redemption, The (1994)'
 'Godfather, The (1972)' 'Willy Wonka & the Chocolate Factory (1971)'
 'Usual Suspects, The (1995)' 'Clockwork Orange, A (1971)'
 ""Schindler's List (1993)"" 'Raising Arizona (1987)' 'Office Space (1999)'
 'Godfather: Part II, The (1974)' 'Big Lebowski, The (1998)'
 'Men in Black (a.k.a. MIB) (1997)' 'Gladiator (2000)'
 'Catch Me If You Can (2002)' 'Nightmare Before Christmas, The (1993)']",45.54010432380564,6.666666666666667,7.052896725440807
258,4,25,"[np.float64(318.0), np.float64(2571.0), np.float64(47099.0), np.float64(1197.0), np.float64(122918.0), np.float64(122916.0), np.float64(527.0), np.float64(68954.0), np.float64(122904.0), np.float64(76093.0), np.float64(72641.0), np.float64(60069.0), np.float64(115617.0), np.float64(3147.0), np.float64(2762.0), np.float64(122886.0), np.float64(87232.0), np.float64(2959.0), np.float64(48394.0), np.float64(70286.0), np.float64(48774.0), np.float64(7147.0), np.float64(5989.0), np.float64(66097.0), np.float64(4995.0)]",258,"Index([ 79132,    356,   4993,   5952,   7153,  58559, 109487,   2028,   7361,
        91529,  59315,   1704,   6377,   3578,  33794],
      dtype='int64')","['Inception (2010)' 'Forrest Gump (1994)'
 'Lord of the Rings: The Fellowship of the Ring, The (2001)'
 'Lord of the Rings: The Two Towers, The (2002)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Dark Knight, The (2008)' 'Interstellar (2014)'
 'Saving Private Ryan (1998)'
 'Eternal Sunshine of the Spotless Mind (2004)'
 'Dark Knight Rises, The (2012)' 'Iron Man (2008)'
 'Good Will Hunting (1997)' 'Finding Nemo (2003)' 'Gladiator (2000)'
 'Batman Begins (2005)']",44.09412842185571,46.666666666666664,16.0
519,2,26,"[np.float64(318.0), np.float64(1704.0), np.float64(51935.0), np.float64(2329.0), np.float64(5989.0), np.float64(1968.0), np.float64(356.0), np.float64(3408.0), np.float64(134393.0), np.float64(88163.0), np.float64(4963.0), np.float64(72998.0), np.float64(3948.0), np.float64(56367.0), np.float64(69122.0), np.float64(6378.0), np.float64(4025.0), np.float64(4447.0), np.float64(33679.0), np.float64(3717.0), np.float64(59369.0), np.float64(34162.0), np.float64(104211.0), np.float64(140110.0), np.float64(7445.0), np.float64(69406.0)]",519,"Index([ 2959,  2571,   296,  2858, 99114,  3147,    47,  4022,  4993,  6377,
       58559,  7153,   593,  1721,  6874],
      dtype='int64')","['Fight Club (1999)' 'Matrix, The (1999)' 'Pulp Fiction (1994)'
 'American Beauty (1999)' 'Django Unchained (2012)'
 'Green Mile, The (1999)' 'Seven (a.k.a. Se7en) (1995)' 'Cast Away (2000)'
 'Lord of the Rings: The Fellowship of the Ring, The (2001)'
 'Finding Nemo (2003)' 'Dark Knight, The (2008)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Silence of the Lambs, The (1991)' 'Titanic (1997)'
 'Kill Bill: Vol. 1 (2003)']",46.17368495689838,46.666666666666664,7.6923076923076925
272,1,31,"[np.float64(318.0), np.float64(2571.0), np.float64(68358.0), np.float64(4993.0), np.float64(122922.0), np.float64(1580.0), np.float64(89745.0), np.float64(119145.0), np.float64(44191.0), np.float64(34405.0), np.float64(51662.0), np.float64(6365.0), np.float64(99114.0), np.float64(1721.0), np.float64(177765.0), np.float64(1240.0), np.float64(589.0), np.float64(109487.0), np.float64(50872.0), np.float64(49272.0), np.float64(1682.0), np.float64(112138.0), np.float64(3147.0), np.float64(1527.0), np.float64(134853.0), np.float64(5903.0), np.float64(2167.0), np.float64(84152.0), np.float64(108190.0), np.float64(148626.0), np.float64(158238.0)]",272,"Index([ 79132,   2959,   1198,   7153,   2028,  58559,    356,    260,   5952,
         1196,  60069,  91529,   1210,  48780, 122886],
      dtype='int64')","['Inception (2010)' 'Fight Club (1999)'
 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Saving Private Ryan (1998)' 'Dark Knight, The (2008)'
 'Forrest Gump (1994)' 'Star Wars: Episode IV - A New Hope (1977)'
 'Lord of the Rings: The Two Towers, The (2002)'
 'Star Wars: Episode V - The Empire Strikes Back (1980)' 'WALL·E (2008)'
 'Dark Knight Rises, The (2012)'
 'Star Wars: Episode VI - Return of the Jedi (1983)'
 'Prestige, The (2006)'
 'Star Wars: Episode VII - The Force Awakens (2015)']",43.43295372675195,53.333333333333336,3.225806451612903
153,11,179,"[np.float64(356.0), np.float64(1704.0), np.float64(2324.0), np.float64(4308.0), np.float64(6373.0), np.float64(1196.0), np.float64(68954.0), np.float64(44191.0), np.float64(180095.0), np.float64(858.0), np.float64(527.0), np.float64(2571.0), np.float64(1198.0), np.float64(168492.0), np.float64(55247.0), np.float64(7293.0), np.float64(56367.0), np.float64(46578.0), np.float64(63082.0), np.float64(7361.0), np.float64(94959.0), np.float64(4878.0), np.float64(4973.0), np.float64(97921.0), np.float64(3949.0), np.float64(109374.0), np.float64(6711.0), np.float64(177765.0), np.float64(106920.0), np.float64(2396.0), np.float64(778.0), np.float64(79702.0), np.float64(112552.0), np.float64(7147.0), np.float64(4226.0), np.float64(96821.0), np.float64(86882.0), np.float64(296.0), np.float64(1.0), np.float64(2959.0), np.float64(4979.0), np.float64(55269.0), np.float64(69757.0), np.float64(117176.0), np.float64(8784.0), np.float64(88810.0), np.float64(105844.0), np.float64(4995.0), np.float64(81591.0), np.float64(2858.0), np.float64(1246.0), np.float64(4014.0), np.float64(106100.0), np.float64(106782.0), np.float64(112183.0), np.float64(112556.0), np.float64(1961.0), np.float64(3408.0), np.float64(1682.0), np.float64(92259.0), np.float64(177615.0), np.float64(364.0), np.float64(4848.0), np.float64(1259.0), np.float64(40819.0), np.float64(174055.0), np.float64(89904.0), np.float64(30810.0), np.float64(36535.0), np.float64(56715.0), np.float64(158966.0), np.float64(2291.0), np.float64(81845.0), np.float64(30707.0), np.float64(2908.0), np.float64(3186.0), np.float64(1271.0), np.float64(5992.0), np.float64(3948.0), np.float64(3623.0), np.float64(179709.0), np.float64(60950.0), np.float64(140174.0), np.float64(143969.0), np.float64(62644.0), np.float64(586.0), np.float64(142488.0), np.float64(100843.0), np.float64(133780.0), np.float64(8464.0), np.float64(1732.0), np.float64(64034.0), np.float64(1206.0), np.float64(47099.0), np.float64(6377.0), np.float64(1193.0), np.float64(2395.0), np.float64(45720.0), np.float64(1380.0), np.float64(106916.0), np.float64(4306.0), np.float64(72641.0), np.float64(2.0), np.float64(112290.0), np.float64(500.0), np.float64(1721.0), np.float64(111921.0), np.float64(109487.0), np.float64(117881.0), np.float64(1258.0), np.float64(2671.0), np.float64(266.0), np.float64(1208.0), np.float64(2011.0), np.float64(2174.0), np.float64(87194.0), np.float64(112454.0), np.float64(138396.0), np.float64(105355.0), np.float64(85885.0), np.float64(81456.0), np.float64(152270.0), np.float64(95167.0), np.float64(72378.0), np.float64(95510.0), np.float64(64957.0), np.float64(101973.0), np.float64(1028.0), np.float64(616.0), np.float64(8533.0), np.float64(2080.0), np.float64(1907.0), np.float64(4896.0), np.float64(520.0), np.float64(41285.0), np.float64(51662.0), np.float64(780.0), np.float64(1485.0), np.float64(134853.0), np.float64(6863.0), np.float64(65230.0), np.float64(7458.0), np.float64(455.0), np.float64(5349.0), np.float64(118696.0), np.float64(166461.0), np.float64(86880.0), np.float64(102125.0), np.float64(122892.0), np.float64(2378.0), np.float64(1954.0), np.float64(106696.0), np.float64(2617.0), np.float64(2005.0), np.float64(153.0), np.float64(111659.0), np.float64(7317.0), np.float64(6793.0), np.float64(69644.0), np.float64(33679.0), np.float64(8528.0), np.float64(2355.0), np.float64(788.0), np.float64(1356.0), np.float64(2710.0), np.float64(7265.0), np.float64(1580.0), np.float64(597.0), np.float64(2572.0), np.float64(99114.0), np.float64(72998.0), np.float64(89745.0), np.float64(91529.0), np.float64(175303.0), np.float64(179819.0), np.float64(173145.0), np.float64(172547.0), np.float64(184471.0), np.float64(66665.0)]",153,"Index([  318,   593, 79132,    47, 48394,  5952,    50,  4993,  7153, 68157,
         608,  6874,  6016,  8368,  2762],
      dtype='int64')","['Shawshank Redemption, The (1994)' 'Silence of the Lambs, The (1991)'
 'Inception (2010)' 'Seven (a.k.a. Se7en) (1995)'
 ""Pan's Labyrinth (Laberinto del fauno, El) (2006)""
 'Lord of the Rings: The Two Towers, The (2002)'
 'Usual Suspects, The (1995)'
 'Lord of the Rings: The Fellowship of the Ring, The (2001)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Inglourious Basterds (2009)' 'Fargo (1996)' 'Kill Bill: Vol. 1 (2003)'
 'City of God (Cidade de Deus) (2002)'
 'Harry Potter and the Prisoner of Azkaban (2004)'
 'Sixth Sense, The (1999)']",44.42017323404256,33.33333333333333,6.145251396648044
25,14,26,"[np.float64(7153.0), np.float64(5952.0), np.float64(4993.0), np.float64(2571.0), np.float64(79132.0), np.float64(260.0), np.float64(527.0), np.float64(231.0), np.float64(122912.0), np.float64(176371.0), np.float64(187541.0), np.float64(180095.0), np.float64(68954.0), np.float64(1198.0), np.float64(3578.0), np.float64(91529.0), np.float64(122916.0), np.float64(2028.0), np.float64(116797.0), np.float64(68157.0), np.float64(59315.0), np.float64(60069.0), np.float64(58559.0), np.float64(74458.0), np.float64(177593.0), np.float64(187593.0)]",25,"Index([  2959,    318, 109487,  33794,  48516,    356,   1196,    593,   1291,
         8961,   4226,   1210,    110,   2762, 115617],
      dtype='int64')","['Fight Club (1999)' 'Shawshank Redemption, The (1994)'
 'Interstellar (2014)' 'Batman Begins (2005)' 'Departed, The (2006)'
 'Forrest Gump (1994)'
 'Star Wars: Episode V - The Empire Strikes Back (1980)'
 'Silence of the Lambs, The (1991)'
 'Indiana Jones and the Last Crusade (1989)' 'Incredibles, The (2004)'
 'Memento (2000)' 'Star Wars: Episode VI - Return of the Jedi (1983)'
 'Braveheart (1995)' 'Sixth Sense, The (1999)' 'Big Hero 6 (2014)']",46.358330590933946,26.666666666666668,53.84615384615385
417,15,67,"[np.float64(2959.0), np.float64(2571.0), np.float64(858.0), np.float64(2712.0), np.float64(4995.0), np.float64(4896.0), np.float64(3949.0), np.float64(68157.0), np.float64(74458.0), np.float64(7254.0), np.float64(1682.0), np.float64(4226.0), np.float64(4306.0), np.float64(3578.0), np.float64(4878.0), np.float64(106782.0), np.float64(3535.0), np.float64(49530.0), np.float64(122904.0), np.float64(27773.0), np.float64(4975.0), np.float64(115713.0), np.float64(112552.0), np.float64(55247.0), np.float64(8529.0), np.float64(84152.0), np.float64(47099.0), np.float64(106920.0), np.float64(110102.0), np.float64(1258.0), np.float64(318.0), np.float64(356.0), np.float64(2762.0), np.float64(1704.0), np.float64(1206.0), np.float64(2858.0), np.float64(6016.0), np.float64(1213.0), np.float64(1732.0), np.float64(5952.0), np.float64(4993.0), np.float64(7153.0), np.float64(79357.0), np.float64(168250.0), np.float64(8914.0), np.float64(288.0), np.float64(58559.0), np.float64(81845.0), np.float64(296.0), np.float64(2329.0), np.float64(92259.0), np.float64(1221.0), np.float64(48394.0), np.float64(778.0), np.float64(6874.0), np.float64(187541.0), np.float64(593.0), np.float64(1198.0), np.float64(109487.0), np.float64(79132.0), np.float64(1625.0), np.float64(47.0), np.float64(1193.0), np.float64(78349.0), np.float64(1089.0), np.float64(97938.0), np.float64(106489.0)]",417,"Index([  260,   608, 48516,  7361,   527,   110, 33794,  1196, 68954,   293,
          50,  2028, 91529,  3147, 48780],
      dtype='int64')","['Star Wars: Episode IV - A New Hope (1977)' 'Fargo (1996)'
 'Departed, The (2006)' 'Eternal Sunshine of the Spotless Mind (2004)'
 ""Schindler's List (1993)"" 'Braveheart (1995)' 'Batman Begins (2005)'
 'Star Wars: Episode V - The Empire Strikes Back (1980)' 'Up (2009)'
 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)'
 'Usual Suspects, The (1995)' 'Saving Private Ryan (1998)'
 'Dark Knight Rises, The (2012)' 'Green Mile, The (1999)'
 'Prestige, The (2006)']",44.99358848383646,20.0,22.388059701492537
296,8,27,"[np.float64(318.0), np.float64(527.0), np.float64(79132.0), np.float64(2959.0), np.float64(1704.0), np.float64(2571.0), np.float64(2324.0), np.float64(2028.0), np.float64(296.0), np.float64(110.0), np.float64(50.0), np.float64(356.0), np.float64(31364.0), np.float64(171765.0), np.float64(180031.0), np.float64(48394.0), np.float64(1201.0), np.float64(5618.0), np.float64(65261.0), np.float64(7156.0), np.float64(169034.0), np.float64(160848.0), np.float64(166528.0), np.float64(5378.0), np.float64(2628.0), np.float64(33493.0), np.float64(4144.0)]",296,"Index([  593,  7153,  5952,  2762,  4993,  6016,   293, 58559,  4973,  2329,
          47,   589,   260, 60069,  3147],
      dtype='int64')","['Silence of the Lambs, The (1991)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Lord of the Rings: The Two Towers, The (2002)' 'Sixth Sense, The (1999)'
 'Lord of the Rings: The Fellowship of the Ring, The (2001)'
 'City of God (Cidade de Deus) (2002)'
 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)'
 'Dark Knight, The (2008)'
 ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""
 'American History X (1998)' 'Seven (a.k.a. Se7en) (1995)'
 'Terminator 2: Judgment Day (1991)'
 'Star Wars: Episode IV - A New Hope (1977)' 'WALL·E (2008)'
 'Green Mile, The (1999)']",44.68017254575595,40.0,29.629629629629626
556,8,32,"[np.float64(4993.0), np.float64(7153.0), np.float64(5952.0), np.float64(48394.0), np.float64(4896.0), np.float64(76093.0), np.float64(98809.0), np.float64(41566.0), np.float64(69844.0), np.float64(5816.0), np.float64(88125.0), np.float64(8368.0), np.float64(6539.0), np.float64(40815.0), np.float64(74789.0), np.float64(54001.0), np.float64(122890.0), np.float64(63992.0), np.float64(78105.0), np.float64(74530.0), np.float64(3081.0), np.float64(94780.0), np.float64(588.0), np.float64(49649.0), np.float64(72998.0), np.float64(93363.0), np.float64(187031.0), np.float64(6754.0), np.float64(162600.0), np.float64(56171.0), np.float64(118997.0), np.float64(112852.0)]",556,"Index([81834, 60069,  4886,   260,   356, 59315, 68954,  2571,  4306,  6377,
       58559, 89745,  8961,   318,  5349],
      dtype='int64')","['Harry Potter and the Deathly Hallows: Part 1 (2010)' 'WALL·E (2008)'
 'Monsters, Inc. (2001)' 'Star Wars: Episode IV - A New Hope (1977)'
 'Forrest Gump (1994)' 'Iron Man (2008)' 'Up (2009)' 'Matrix, The (1999)'
 'Shrek (2001)' 'Finding Nemo (2003)' 'Dark Knight, The (2008)'
 'Avengers, The (2012)' 'Incredibles, The (2004)'
 'Shawshank Redemption, The (1994)' 'Spider-Man (2002)']",45.105500981631195,60.0,25.0
306,7,112,"[np.float64(60069.0), np.float64(177765.0), np.float64(168250.0), np.float64(6502.0), np.float64(140016.0), np.float64(1345.0), np.float64(105731.0), np.float64(161634.0), np.float64(5784.0), np.float64(92391.0), np.float64(156726.0), np.float64(85788.0), np.float64(104908.0), np.float64(122884.0), np.float64(183295.0), np.float64(166534.0), np.float64(103688.0), np.float64(159858.0), np.float64(103372.0), np.float64(69406.0), np.float64(45668.0), np.float64(86833.0), np.float64(31685.0), np.float64(104211.0), np.float64(81847.0), np.float64(96588.0), np.float64(45720.0), np.float64(140110.0), np.float64(4720.0), np.float64(68954.0), np.float64(134853.0), np.float64(112852.0), np.float64(4886.0), np.float64(6377.0), np.float64(8961.0), np.float64(115617.0), np.float64(152081.0), np.float64(76093.0), np.float64(50872.0), np.float64(134368.0), np.float64(4306.0), np.float64(56152.0), np.float64(5618.0), np.float64(160080.0), np.float64(58047.0), np.float64(87869.0), np.float64(133419.0), np.float64(111113.0), np.float64(166461.0), np.float64(110771.0), np.float64(31433.0), np.float64(175303.0), np.float64(149334.0), np.float64(157296.0), np.float64(65230.0), np.float64(122918.0), np.float64(80463.0), np.float64(109487.0), np.float64(117590.0), np.float64(97225.0), np.float64(142997.0), np.float64(103335.0), np.float64(167018.0), np.float64(80166.0), np.float64(75805.0), np.float64(97913.0), np.float64(115664.0), np.float64(5957.0), np.float64(121231.0), np.float64(72737.0), np.float64(106696.0), np.float64(98243.0), np.float64(152077.0), np.float64(4700.0), np.float64(2762.0), np.float64(85367.0), np.float64(76293.0), np.float64(60126.0), np.float64(175199.0), np.float64(119141.0), np.float64(135436.0), np.float64(64969.0), np.float64(66203.0), np.float64(5218.0), np.float64(100390.0), np.float64(157312.0), np.float64(84944.0), np.float64(130520.0), np.float64(161580.0), np.float64(88785.0), np.float64(158813.0), np.float64(148956.0), np.float64(164200.0), np.float64(158528.0), np.float64(71535.0), np.float64(111659.0), np.float64(7293.0), np.float64(72998.0), np.float64(27772.0), np.float64(53322.0), np.float64(4963.0), np.float64(122904.0), np.float64(111743.0), np.float64(35836.0), np.float64(8360.0), np.float64(59258.0), np.float64(95543.0), np.float64(63859.0), np.float64(52973.0), np.float64(69644.0), np.float64(136016.0), np.float64(168418.0)]",306,"Index([ 79132,  89745,   6539,    356,  59315, 108932, 110102,      1,  99114,
         1704,   7153,  79091,  68157,  78499,    364],
      dtype='int64')","['Inception (2010)' 'Avengers, The (2012)'
 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)'
 'Forrest Gump (1994)' 'Iron Man (2008)' 'The Lego Movie (2014)'
 'Captain America: The Winter Soldier (2014)' 'Toy Story (1995)'
 'Django Unchained (2012)' 'Good Will Hunting (1997)'
 'Lord of the Rings: The Return of the King, The (2003)'
 'Despicable Me (2010)' 'Inglourious Basterds (2009)' 'Toy Story 3 (2010)'
 'Lion King, The (1994)']",45.90905091038794,20.0,6.25
