userId,follow,total,userId,diversity
514,13,1191,514,5.758075061562096
258,0,75,258,5.760152302918944
519,0,78,519,5.820309464748453
272,0,93,272,5.224762008098834
153,3,537,153,5.088434132373585
25,0,78,25,5.499203919374191
417,0,201,417,4.9890151212033915
296,0,81,296,5.361118570809741
556,0,96,556,5.2687016265494355
306,0,336,306,5.917535060993321
567,6,1155,567,5.584987352933721
184,1,402,184,5.3680881935481475
62,6,1098,62,5.941082824418962
329,1,69,329,5.746352740104793
586,2,624,586,5.694721119953292
331,1,504,331,5.475302764897637
459,0,78,459,5.546852833898136
77,0,87,77,4.889422402701866
205,0,81,205,5.565850061435841
209,0,105,209,5.8442456593131515
338,0,117,338,5.849057683241269
596,6,1233,596,5.394984730126181
89,9,1554,89,5.200798214854341
98,0,276,98,5.300565721387554
362,5,327,362,5.244230194540666
491,0,192,491,5.2481997619213585
111,8,1938,111,5.7468931040727975
248,2,153,248,5.177406350015362
382,4,873,382,5.474297844810711
