userId,follow,total,userId,diversity
514,13,1191,514,5.666835008874413
258,0,75,258,5.665831968307109
519,0,78,519,5.675972137601339
272,0,93,272,5.682922973803923
153,3,537,153,5.588336553185866
25,0,78,25,5.700737691265494
417,0,201,417,5.699430058124709
296,0,81,296,5.505852220312212
556,0,96,556,5.797931038927752
306,0,336,306,5.826559159070348
567,6,1155,567,5.558508602773428
184,1,402,184,5.640473698887037
62,6,1098,62,5.850161545782535
329,1,69,329,5.733042720998192
586,2,624,586,5.815149623591313
331,1,504,331,5.806517559784118
459,0,78,459,5.754581773304931
77,0,87,77,5.60164872227387
205,0,81,205,5.723423461595267
209,0,105,209,5.694785339837861
338,0,117,338,5.854120922297416
596,6,1233,596,5.88080234896655
89,9,1554,89,5.611522196653597
98,0,276,98,5.655340463338526
362,5,327,362,5.720296667309844
491,0,192,491,5.726701201448909
111,8,1938,111,5.738335408876864
248,2,153,248,5.807447667810396
382,4,873,382,5.840066982577454
